Node Name,Community,t-SNE X,t-SNE Y
SMS,1,30.543598,1.3756032
CHID1,8,-14.528757,-15.744064
Mitomycin-C,4,2.6125104,32.967876
EXOC2,3,5.314723,5.0320473
TUBGCP3,8,-14.528758,-15.744047
EEF2K,4,2.6124518,32.96954
CSRP1,1,30.54193,1.3755918
NEFM,7,9.621007,-25.412495
LYPLA1,8,-14.528758,-15.744053
UBR4,1,30.542685,1.3756493
CXXC1,6,-23.651094,8.766772
RPAP1,7,9.621062,-25.414131
RAP1A,4,2.612511,32.968674
DBNL,8,-14.5286875,-15.744859
CHMP3,9,30.375559,29.66313
SUPT16H,7,9.621371,-25.413666
SLC12A9,8,-14.528688,-15.745688
EGFR,6,-23.65151,8.7662325
MYL6B,4,2.6124504,32.966675
MPP1,1,30.541933,1.3756106
RAD23B,7,9.621597,-25.41442
SERPINB1,8,-14.529817,-15.745276
JAGN1,7,9.62156,-25.41347
RPN1,6,-23.65151,8.766232
CRYBG1,1,30.541864,1.375633
Entospletinib,7,9.621094,-25.413591
CSTA,4,2.6125088,32.966663
MYO6,1,30.542826,1.3755997
PLEC,6,-23.651045,8.766771
GCC2,3,5.3143935,5.0319495
CCS,3,5.314904,5.0316834
UGT1A6,6,-23.651045,8.76677
Doramapimod,3,5.314821,5.0313253
LZTS1,8,-14.529612,-15.745275
HSPA13,4,2.6124516,32.966522
HSD17B7,7,9.621593,-25.414066
ISG20L2,7,9.62147,-25.414583
MRPL30,6,-23.651314,8.766232
SAR1B,4,2.612493,32.967186
CRK,6,-23.651043,8.766771
UNC119B,6,-23.651506,8.766232
FSD1,6,-23.651043,8.766771
PRPF8,8,-14.528992,-15.744857
SLC12A4,5,-13.447229,-2.5933266
HS2ST1,8,-14.529031,-15.745695
FIP1L1,4,2.6124513,32.96892
RASSF2,4,2.6124818,32.967834
SFXN1,6,-23.651062,8.766765
REPIN1,1,30.54192,1.3755918
TMEM11,6,-23.651043,8.766771
QL-X-138,1,30.543612,1.375603
RAB33B,8,-14.52903,-15.745695
PTPN11,8,-14.529032,-15.745682
CSTF1,8,-14.5286875,-15.7456875
GNF-5,6,-23.651041,8.766772
GYG1,7,9.621593,-25.414362
PPME1,8,-14.528757,-15.744029
GRHL2,8,-14.529301,-15.744134
DHRS1,1,30.542562,1.3756044
CPOX,8,-14.528757,-15.744047
SPART,1,30.541124,1.3755909
ITCH,4,2.6124496,32.96537
TMEM33,1,30.542574,1.3756472
PSMD5,3,5.3147755,5.0318985
WDR75,6,-23.650967,8.7662325
TIMELESS,8,-14.529031,-15.7457
RRP9,3,5.314227,5.0315595
AIF1L,1,30.54362,1.3756031
NME7,4,2.6124928,32.966293
CDCA5,8,-14.528757,-15.744029
GSTP1,7,9.621003,-25.413752
MRRF,1,30.541864,1.375633
PCNP,6,-23.650219,8.766157
SMU1,8,-14.529031,-15.745694
ZYX,4,2.6124506,32.96654
TGFB1I1,4,2.6124892,32.966526
EED,4,2.612453,32.967598
MYL6,4,2.6124444,32.967606
TALDO1,9,30.37534,29.663109
